53:	42	26	7	42	42	18	33	8	36	7	27	27	29	2	20	14	0	43	15	33	
54:	21	9	32	25	20	19	20	26	6	14	0	4	33	13	14	43	43	7	9	20	
55:	14	27	23	1	33	11	20	38	5	6	13	0	22	30	29	38	33	15	5	17	
56:	1	37	22	41	35	19	0	42	29	30	30	33	19	25	40	5	28	35	0	4	
57:	21	14	37	24	36	27	28	20	29	35	25	10	12	18	24	35	29	24	15	10	
58:	37	0	8	10	32	10	12	27	34	11	18	23	35	16	15	1	9	37	33	19	
59:	13	42	32	2	32	7	9	8	9	23	8	11	6	21	16	32	1	8	4	40	
60:	29	29	35	30	3	7	10	30	9	26	40	28	31	22	24	3	13	20	36	21	
61:	19	27	40	4	31	1	21	2	5	16	42	34	7	17	8	41	18	23	17	19	
62:	6	14	32	15	8	2	28	19	33	39	9	38	26	35	32	42	28	13	26	40	
63:	13	1	32	15	41	3	18	40	34	14	2	34	36	32	8	20	17	3	13	8	
64:	3	3	39	39	16	31	23	19	21	25	5	8	9	31	3	37	22	25	11	26	
65:	15	39	4	39	34	26	4	34	43	34	7	43	25	30	1	40	34	3	8	23	
66:	23	25	32	17	6	11	24	19	9	24	33	37	31	35	7	11	37	43	0	40	
67:	37	14	24	31	17	28	33	9	31	32	43	43	12	18	0	4	41	11	37	10	
68:	32	36	22	23	31	1	34	33	16	18	33	7	33	30	26	26	17	12	30	2	
69:	0	31	34	15	39	31	10	23	5	4	9	15	13	40	38	7	23	8	12	8	
70:	6	5	12	27	27	41	14	1	20	20	19	3	36	26	18	26	15	15	29	11	
71:	9	13	20	39	13	17	27	31	38	24	19	19	34	20	20	4	28	41	5	5	
72:	19	5	40	7	26	38	33	43	22	41	21	16	37	21	2	29	25	35	41	40	
73:	22	3	8	5	37	32	11	42	30	24	23	41	41	37	27	30	36	7	0	27	
74:	43	24	3	2	14	19	41	37	0	0	36	3	37	18	19	25	11	37	35	27	
75:	21	23	5	36	40	32	39	14	21	10	37	28	18	26	30	2	17	17	22	23	
76:	8	39	42	41	12	9	4	24	6	5	0	31	31	6	24	0	34	0	22	9	
77:	34	39	30	2	34	12	17	6	28	28	7	6	14	13	7	42	17	40	10	37	
78:	17	23	42	4	14	6	43	18	27	23	16	12	37	11	27	20	11	17	34	32	
79:	19	0	15	27	14	1	30	2	11	11	35	26	12	3	23	37	21	3	37	14	
80:	39	35	8	41	25	10	39	24	19	24	40	20	12	19	26	41	30	17	10	2	
81:	0	11	18	19	41	12	15	23	34	33	7	39	15	33	6	24	31	7	30	18	
82:	30	32	11	1	30	21	10	22	18	23	16	7	15	28	2	10	27	6	31	17	
83:	26	22	28	7	7	24	6	35	22	5	38	34	8	43	20	41	18	14	21	30	
84:	7	29	15	36	11	37	37	24	35	29	18	21	26	0	6	31	22	22	13	8	
85:	37	37	29	35	27	31	5	2	20	0	43	43	41	26	28	0	6	20	28	23	
86:	24	24	20	40	18	28	26	2	37	13	33	21	25	18	40	13	2	21	43	2	
87:	2	4	8	41	18	33	4	4	27	25	2	39	12	28	2	29	30	9	29	3	
88:	16	4	8	0	32	42	14	2	34	33	21	24	23	21	1	3	28	0	15	2	
89:	10	0	19	42	16	6	20	26	43	18	16	32	34	28	24	40	39	29	15	10	
90:	10	19	40	22	1	42	41	0	24	2	16	37	43	41	2	33	22	28	1	35	
91:	25	0	7	11	27	14	43	4	38	28	19	36	31	15	34	9	21	20	23	9	
92:	6	16	16	32	6	20	31	3	20	14	19	26	38	30	23	38	17	0	11	13	
93:	3	32	18	37	1	39	12	17	22	19	42	17	4	9	29	6	21	0	34	33	
94:	6	43	3	36	17	8	35	33	8	8	33	14	12	26	9	30	0	17	17	11	
95:	16	41	29	13	3	25	6	18	0	15	5	18	28	33	17	37	14	22	24	12	
96:	43	9	36	42	30	43	40	24	1	32	3	32	20	13	15	37	41	15	21	34	
97:	23	20	39	11	19	4	38	4	11	11	12	17	14	32	24	13	9	21	29	37	
98:	6	43	4	2	38	4	10	9	16	15	25	6	23	34	3	16	38	2	41	31	
99:	35	15	12	21	23	31	14	23	24	10	42	33	13	18	29	41	14	42	34	1	
100:	14	21	39	3	33	18	33	6	20	24	9	29	1	41	14	14	1	22	30	38	
